EmployerID,Position,Latitude,Longitude
6,1,47.5183451,-52.9567005
7,1,51.480806,-56.954241
28,2,49.282213,-57.420854
41,130,47.551277,-52.727693
48,4,46.203797,-63.266232
51,2,46.43789,-63.63458
59,1,46.179,-62.884
63,1,46.401847,-63.338722
71,2,46.696448,-64.383974
75,5,45.195976,-64.680474
76,3,45.090922,-64.823309
77,2,44.708483,-63.601019
124,3,45.090922,-64.823309
131,4,45.369405,-63.662186
148,3,45.617066,-61.357947
154,8,45.074551,-64.720682
167,2,45.195976,-64.680474
220,3,46.966656,-70.531465
243,3,46.012426,-73.355485
251,54,45.498856,-73.570201
266,1,45.2722015380859,-74.3366470336914
277,11,46.813533,-71.224271
303,2,45.514036,-73.57248
340,2,45.5317503,-73.5917029
341,3,45.3527288,-73.2861638
342,16,45.501818,-73.624537
343,25,45.5052277,-73.5557318
356,9,45.754562,-73.480006
387,2,46.146022,-70.691725
391,5,45.18365,-72.83659
393,2,45.050584,-72.37232
416,5,45.743566,-70.698132
421,4,45.387619,-72.766979
428,3,45.956657,-73.221825
433,11,46.099764,-72.332324
438,2,45.122858,-74.018803
439,3,45.617401,-74.094669
446,3,45.517204,-74.279219
451,3,48.633071,-71.702658
453,3,46.228855,-73.406588
459,15,46.487467,-72.742849
461,4,45.123524,-73.148494
462,8,45.956657,-73.221825
466,4,46.167895,-72.328926
468,3,45.205117,-73.653262
480,3,46.012426,-73.355485
485,4,45.0870018005371,-74.4231109619141
492,1,46.46617,-71.527885
501,9,45.267409,-74.143086
502,2,46.154859,-73.427218
506,5,45.967496,-73.566293
509,3,45.175263,-73.861134
514,20,45.5767022,-73.2460654
537,1,46.799535,-71.333263
566,310,45.507836,-73.565412
568,4,45.504013,-73.622601
581,5,45.89633,-74.138584
596,10,46.112205,-71.281155
602,6,46.780227,-71.300746
608,2,45.565314,-74.078302
622,11,45.304769,-73.697619
638,6,45.577702,-73.710989
651,44,45.515439,-73.553814
664,4,46.21997,-71.770521
677,18,45.5767022,-73.2460654
681,5,45.346674,-73.436841
687,19,45.496258,-74.140595
704,2,45.307256,-71.829763
706,4,45.816035,-73.907662
709,6,45.5574221,-73.9097504
712,1,45.55103,-73.825468
713,3,45.623993,-74.005714
717,7,45.619252,-72.948702
726,3,45.071888,-72.877933
728,7,45.18365,-72.83659
729,10,47.557124,-70.538822
742,1,45.502079,-73.555664
749,6,45.8614072,-73.7472754
750,1,45.467172,-73.62225
754,9,45.978648,-73.393966
765,4,45.978648,-73.393966
772,1,45.351891,-72.508787
802,4,45.503238,-73.558922
808,6,46.761369,-71.210897
824,8,45.414543,-73.02362
826,1,46.7564714,-71.4104976
836,5,46.851704,-71.107794
877,10,46.857074,-71.340461
889,76,46.4105453491211,-70.3466491699219
894,1,45.5334847,-73.6191595
921,1,45.397998,-71.941523
925,7,45.875388,-72.540577
927,1,45.687511,-73.099655
931,2,45.711323,-74.083877
974,121,45.525858,-73.598898
977,8,45.491524,-73.568127
978,7,45.383716,-71.925605
981,9,46.7841863,-71.2852596
988,22,45.071888,-72.877933
989,6,46.168705,-71.871248
993,3,45.435286,-72.883572
994,6,45.435286,-72.883572
995,15,45.435286,-72.883572
1008,1,45.205117,-73.653262
1015,1,43.25351,-79.126832
1024,11,42.902746,-80.546252
1035,5,42.843216,-80.615434
1082,3,43.194695,-79.502571
1087,2,42.577142,-82.174695
1105,1,44.545368,-80.46633
1152,4,42.71978,-81.273994
1160,4,43.096075,-80.437428
1200,2,43.522467,-79.747031
1221,3,44.246315,-79.745424
1235,3,42.085786,-82.619578
1236,4,44.181699,-81.290263
1244,2,43.608034,-79.500929
1247,2,43.802915,-79.545067
1278,9,43.230361,-80.134647
1280,1,42.062069,-82.467053
1282,2,44.545368,-80.46633
1283,2,44.049517,-79.579492
1287,1,42.062069,-82.467053
1294,1,43.4792,-80.54941
1295,1,43.152372,-79.36548
