Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name
Newfoundland and Labrador,Aker Solutions AIM Canada Inc.,"St John's, NL A1C 6C9",8,Aker Solutions AIM Canada Inc.,2264,Construction inspectors
Newfoundland and Labrador,Anglo Eastern Ship Managment Ltd,"Wanchai, NL A0A 0A0",4,High Wage,2273,"Deck officers, water transport"
Newfoundland and Labrador,Canada Fluorspar (NL) Inc.,"St. Lawrence, NL A0E 2V0",1,High Wage,0711,Construction managers
Newfoundland and Labrador,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A4",7,High Wage,2273,"Deck officers, water transport"
Newfoundland and Labrador,Green Food Industries Inc.,"St. John's, NL A1B 1W3",1,High Wage,6322,Cooks
Newfoundland and Labrador,NARL Refining Ltd Partnership,"Come By Chance, NL A0B 1N0",1,High Wage,0911,Manufacturing managers
Newfoundland and Labrador,Sorensen School Of Dance Ltd,"St. John's, NL A1A 4L5",1,High Wage,5134,Dancers
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,0711,Construction managers
Newfoundland and Labrador,Suncor Energy Services Inc,"St John's, NL A1C 1B6",1,High Wage,7302,"Contractors and supervisors, heavy equipment operator crews"
Newfoundland and Labrador,Toiber Toys Ltd.,"St. John's, NL A1E 1B8",1,High Wage,0621,Retail and wholesale trade managers
Newfoundland and Labrador,67527 Newfoundland and Labrador Ltd.,"Clarenville, NL A5A 2C2",3,67527 Newfoundland and Labrador Ltd.,6322,Cooks
Newfoundland and Labrador,75038 Newfoundland and Labrador Inc.,"St. John's, NL A1C 4Z5",1,Low Wage,6322,Cooks
Newfoundland and Labrador,Anglo Eastern Ship Managment Ltd,"Wanchai, NL A0A 0A0",2,Low Wage,6322,Cooks
Newfoundland and Labrador,CBS Foods Ltd,"Conception Bay South, NL A1W 3A6",2,Low Wage,6322,Cooks
Newfoundland and Labrador,Clarenville Foods Inc.,"Portugal Cove, NL A1M 1E3",1,Low Wage,6322,Cooks
Newfoundland and Labrador,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A4",1,Low Wage,6322,Cooks
Newfoundland and Labrador,Goulding's Wholesale Limited,"Charlottetown, NL A0C 1L0",3,Low Wage,6332,Bakers
Newfoundland and Labrador,I.C. Pizza House Inc.,"St. John's, NL A1E 0C2",2,Low Wage,6322,Cooks
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",4,Low Wage,6322,Cooks
Newfoundland and Labrador,Wong's Palace Limited,"Marystown, NL A0E 2M0",1,Low Wage,6322,Cooks
Newfoundland and Labrador,New World Dairy Inc.,"St. David's, NL A0N 1X0",3,New World Dairy Inc.,8431,General farm workers
Newfoundland and Labrador,Rideout's Dairy Inc.,"Cormack, NL A8A 2R6",1,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Spruce Meadow Farm,"Happy Valley Goose Bay, NL A0P 1E0",3,Primary Agriculture,8431,General farm workers
Newfoundland and Labrador,Viking Fur Inc,"Cavendish, NL A0B 1J0",2,Primary Agriculture,8431,General farm workers
Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",20,Bulk Carriers (P.E.I.) Limited,7511,Transport truck drivers
Prince Edward Island,Health PEI,"Charlottetown, PE C1A 7N8",1,High Wage,3111,Specialist physicians
Prince Edward Island,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",10,High Wage,7511,Transport truck drivers
Prince Edward Island,Claddagh Holdings Inc.,"Charlottetown, PE C1A 1G5",1,Claddagh Holdings Inc.,6322,Cooks
Prince Edward Island,FR Enterprises Inc.,"Charlottetown, PE C1A 8Y3",1,Low Wage,6322,Cooks
Prince Edward Island,Mary's Cornwall Bakery,"Cornwall, PE C0A 1H0",1,Low Wage,6332,Bakers
Prince Edward Island,Perry's Construction Ltd,"Tingish, PE C0B 2B0",8,Low Wage,7611,Construction trades helpers and labourers
Prince Edward Island,Arlington Orchards Inc,"Arlington, PE C0B 1Y0",6,Arlington Orchards Inc,8431,General farm workers
Prince Edward Island,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",4,Primary Agriculture,8432,Nursery and greenhouse workers
Prince Edward Island,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",3,Primary Agriculture,8431,General farm workers
Prince Edward Island,Eastern Exporters Ltd,"Souris, PE C0A 2B0",3,Primary Agriculture,8431,General farm workers
Prince Edward Island,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",2,Primary Agriculture,8431,General farm workers
Prince Edward Island,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",4,Primary Agriculture,8611,Harvesting labourers
Prince Edward Island,Maritime Pet Foods Inc.,"Stanchel, PE C0A 1E0",3,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
