Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name
Newfoundland and Labrador,A-NDT Inspections Limited,"ST. JOHNS'S, NL A1B 4N8",1,A-NDT Inspections Limited,0016,Senior managers 
Newfoundland and Labrador,Eastern Regional Integrated Health Authority o/a Dr. G.B. Cross Memorial Hospital,"BURIN, NL A0E 1E0",2,High Wage,3111,Specialist physicians
Newfoundland and Labrador,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W",1,High Wage,6211,Retail sales supervisors
Newfoundland and Labrador,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",1,High Wage,2274,"Engineer officers, water transport"
Newfoundland and Labrador,Barry Group Inc.,"Corner Brook, NL A2H 3E9",20,Barry Group Inc.,9463,Fish and seafood plant workers
Newfoundland and Labrador,Bugden Enterprises Inc,"Conception Bay South, NL A1W 3A3",1,Low Wage,6322,Cooks
Newfoundland and Labrador,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W",11,Low Wage,6211,Retail sales supervisors
Newfoundland and Labrador,J. Co Holdings Inc.,"St. John's, NL A1C 2A5",2,Low Wage,6322,Cooks
Newfoundland and Labrador,Lolo's Investments,"Conception Bay South, NL A1W 3A4",2,Low Wage,6322,Cooks
Newfoundland and Labrador,Nails Time Inc.,"St. John's, NL A1E 5T2",3,Low Wage,6562,"Estheticians, electrologists and related occupations"
Newfoundland and Labrador,Norlab Limited,"Happy Valley-Goose Bay, NL A0P 1E0",1,Low Wage,6322,Cooks
Newfoundland and Labrador,Ashland Farms Inc.,"Cormack, NL A8A 2M9",2,Ashland Farms Inc.,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Birdhouse Garden Market Inc.,"HAPPY VALLEY - GOOSE BAY, NL A0P 1E0",2,Primary Agriculture,8432,Nursery and greenhouse workers
Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Lester's Dairy Farm,"St. John's, NL A1E 6J4",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Newfoundland and Labrador,Viking Fur Inc,"Cavendish, NL A0B 1J0",2,Primary Agriculture,8431,General farm workers
Newfoundland and Labrador,Woodland Farms Inc.,"GOULDS, NL A1S 1G7",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",25,Bulk Carriers (P.E.I.) Limited,7511,Transport truck drivers
Prince Edward Island,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",15,High Wage,7511,Transport truck drivers
Prince Edward Island,Blue Mussel Cafe Inc.,"North Rustico, PE C0A 1X0",1,Blue Mussel Cafe Inc.,0631,Restaurant and food service managers
Prince Edward Island,Kildare Fisheries Ltd,"ALBERTON, PE C0B 1B0",22,Low Wage,9463,Fish and seafood plant workers
Prince Edward Island,Summerside Seafood Supreme Inc.,"Summerside, PE C1N 2V5",25,Low Wage,9463,Fish and seafood plant workers
Prince Edward Island,Zion Development,"Charlottetown, PE C1A 4T8",1,Low Wage,4412,"Home support workers, housekeepers and related occupations"
Prince Edward Island,Arlington Orchards Ltd.,"ARLINGTON, PE C0B 1Y0",4,Arlington Orchards Ltd.,8431,General farm workers
Prince Edward Island,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",2,Primary Agriculture,0822,Managers in horticulture
Prince Edward Island,Bridgeview Acres Inc,"Albany, PE C0B 1A0",2,Primary Agriculture,8431,General farm workers
Prince Edward Island,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",14,Primary Agriculture,8431,General farm workers
Prince Edward Island,Carol Blum Blum's Farm Market,"BELLEVUE, PE C0A 1A0",2,Primary Agriculture,8611,Harvesting labourers
Prince Edward Island,Eastern Farms Ltd,"POWNAL, PE C1B 3S5",5,Primary Agriculture,8431,General farm workers
Prince Edward Island,Frizzell's Valleyville Farm Inc.,"HUNTER RIVER, PE C0A 1N0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,HillTop Produce Ltd,"Kinkora, PE C0B 1N0",2,Primary Agriculture,8611,Harvesting labourers
Prince Edward Island,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",15,Primary Agriculture,8431,General farm workers
Prince Edward Island,Jewell's Produce,"YORK, PE C0A 1P0",9,Primary Agriculture,8431,General farm workers
Prince Edward Island,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",1,Primary Agriculture,8431,General farm workers
Prince Edward Island,McCardle Bros.,"Kinkora, PE C0B 1N0",2,Primary Agriculture,8431,General farm workers
Prince Edward Island,Newland Farms Inc.,"HUNTER RIVER, PE C0A 1N0",3,Primary Agriculture,8431,General farm workers
Prince Edward Island,Ponds Edge Farms Inc.,"Souris, PE C0A 2B0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,Power Line Pork Inc.,"Albany, PE C0B 1A0",4,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
Prince Edward Island,Van Diepen Produce Ltd,"Morell, PE C0A 1S0",15,Primary Agriculture,8431,General farm workers
Prince Edward Island,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",36,Primary Agriculture,8431,General farm workers
Prince Edward Island,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",1,Primary Agriculture,8431,General farm workers
Prince Edward Island,Maximus Canada Services Inc.,"CHARLOTTETOWN, PE C1A 4K9",1,Maximus Canada Services Inc.,2174,Computer programmers and interactive media developers
Nova Scotia,3091914 NS Ltd.,"Halifax, NS B3K 1H8",1,3091914 NS Ltd.,6322,Cooks
Nova Scotia,B&R Elias Group,"CANNING, NS B0P 1H0",1,High Wage,0621,Retail and wholesale trade managers
Nova Scotia,Clarke Road Transport Inc.,"Halifax, NS B3S 0B7",8,High Wage,7511,Transport truck drivers
Nova Scotia,Classic Freight Systems (2011) Ltd.,"Dartmouth, NS B3N 1N8",4,High Wage,7511,Transport truck drivers
Nova Scotia,Dalhousie University,"HALIFAX, NS B3H 4R2",1,High Wage,4011,University professors and lecturers
Nova Scotia,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",10,High Wage,7511,Transport truck drivers
Nova Scotia,Gabadi Services Canada Inc.,"DARTMOUTH, NS B3B 1J4",7,High Wage,7235,Structural metal and platework fabricators and fitters
Nova Scotia,High Liner Foods Incorporated,"Lunenburg, NS B0J 2C0",1,High Wage,0016,Senior managers 
Nova Scotia,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",3,High Wage,0211,Engineering managers
Nova Scotia,Saint Mary's University,"HALIFAX, NS B3H 3C3",2,High Wage,4011,University professors and lecturers
Nova Scotia,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2,High Wage,2173,Software engineers and designers
Nova Scotia,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",1,High Wage,1123,"Professional occupations in advertising, marketing and public relations"
Nova Scotia,Wolfville Nursing Homes Ltd,"Wolfville, NS B4P 1E9",1,High Wage,3012,Registered nurses and registered psychiatric nurses
Nova Scotia,Amos and Andy Fisheries Ltd.,"SAMBRO, NS B3V 1L2",3,Amos and Andy Fisheries Ltd.,9618,Labourers in fish and seafood processing
Nova Scotia,Arisu Table BBQ and Sushi Bar Limited,"HALIFAX, NS B3J 1X3",2,Low Wage,6322,Cooks
Nova Scotia,Deveci Food Mart & Grocery Ltd,"Halifax, NS B3J 1H5",1,Low Wage,6322,Cooks
Nova Scotia,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",1,Low Wage,6322,Cooks
