Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Latitude,Longitude
Newfoundland and Labrador,Aker Solutions AIM Canada Inc.,"St John's, NL A1C 6C9",8,Aker Solutions AIM Canada Inc.,2264,Construction inspectors,47.5630158,-52.7084738
Newfoundland and Labrador,Anglo Eastern Ship Managment Ltd,"Wanchai, NL A0A 0A0",4,High Wage,2273,"Deck officers, water transport",47.5820518,-53.2798524
Newfoundland and Labrador,Canada Fluorspar (NL) Inc.,"St. Lawrence, NL A0E 2V0",1,High Wage,0711,Construction managers,46.920161,-55.397294
Newfoundland and Labrador,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A4",7,High Wage,2273,"Deck officers, water transport",47.519571,-52.811343
Newfoundland and Labrador,Green Food Industries Inc.,"St. John's, NL A1B 1W3",1,High Wage,6322,Cooks,47.5586,-52.755482
Newfoundland and Labrador,NARL Refining Ltd Partnership,"Come By Chance, NL A0B 1N0",1,High Wage,0911,Manufacturing managers,47.934031,-54.16475
Newfoundland and Labrador,Sorensen School Of Dance Ltd,"St. John's, NL A1A 4L5",1,High Wage,5134,Dancers,,
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,0711,Construction managers,47.551277,-52.727693
Newfoundland and Labrador,Suncor Energy Services Inc,"St John's, NL A1C 1B6",1,High Wage,7302,"Contractors and supervisors, heavy equipment operator crews",47.5632929,-52.7081729
Newfoundland and Labrador,Toiber Toys Ltd.,"St. John's, NL A1E 1B8",1,High Wage,0621,Retail and wholesale trade managers,47.552481,-52.715932
Newfoundland and Labrador,67527 Newfoundland and Labrador Ltd.,"Clarenville, NL A5A 2C2",3,67527 Newfoundland and Labrador Ltd.,6322,Cooks,48.157256,-53.979495
Newfoundland and Labrador,75038 Newfoundland and Labrador Inc.,"St. John's, NL A1C 4Z5",1,Low Wage,6322,Cooks,47.565811,-52.727617
Newfoundland and Labrador,Anglo Eastern Ship Managment Ltd,"Wanchai, NL A0A 0A0",2,Low Wage,6322,Cooks,47.5820518,-53.2798524
Newfoundland and Labrador,CBS Foods Ltd,"Conception Bay South, NL A1W 3A6",2,Low Wage,6322,Cooks,47.5183451,-52.9567005
Newfoundland and Labrador,Clarenville Foods Inc.,"Portugal Cove, NL A1M 1E3",1,Low Wage,6322,Cooks,47.586467,-52.885492
Newfoundland and Labrador,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A4",1,Low Wage,6322,Cooks,47.519571,-52.811343
Newfoundland and Labrador,Goulding's Wholesale Limited,"Charlottetown, NL A0C 1L0",3,Low Wage,6332,Bakers,48.438006,-54.013769
Newfoundland and Labrador,I.C. Pizza House Inc.,"St. John's, NL A1E 0C2",2,Low Wage,6322,Cooks,47.5505464,-52.7507013
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",4,Low Wage,6322,Cooks,47.551277,-52.727693
Newfoundland and Labrador,Wong's Palace Limited,"Marystown, NL A0E 2M0",1,Low Wage,6322,Cooks,47.15491,-55.265069
Newfoundland and Labrador,New World Dairy Inc.,"St. David's, NL A0N 1X0",3,New World Dairy Inc.,8431,General farm workers,48.160518,-58.815081
Newfoundland and Labrador,Rideout's Dairy Inc.,"Cormack, NL A8A 2R6",1,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",49.282213,-57.420854
Newfoundland and Labrador,Spruce Meadow Farm,"Happy Valley Goose Bay, NL A0P 1E0",3,Primary Agriculture,8431,General farm workers,53.312758,-60.38015
Newfoundland and Labrador,Viking Fur Inc,"Cavendish, NL A0B 1J0",2,Primary Agriculture,8431,General farm workers,47.715864,-53.493243
Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",20,Bulk Carriers (P.E.I.) Limited,7511,Transport truck drivers,46.1749323,-63.2607926
Prince Edward Island,Health PEI,"Charlottetown, PE C1A 7N8",1,High Wage,3111,Specialist physicians,46.25128,-63.147429
Prince Edward Island,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",10,High Wage,7511,Transport truck drivers,46.233768,-63.124917
Prince Edward Island,Claddagh Holdings Inc.,"Charlottetown, PE C1A 1G5",1,Claddagh Holdings Inc.,6322,Cooks,46.23326,-63.126346
Prince Edward Island,FR Enterprises Inc.,"Charlottetown, PE C1A 8Y3",1,Low Wage,6322,Cooks,46.272835,-63.1388
Prince Edward Island,Mary's Cornwall Bakery,"Cornwall, PE C0A 1H0",1,Low Wage,6332,Bakers,46.1749323,-63.2607926
Prince Edward Island,Perry's Construction Ltd,"Tingish, PE C0B 2B0",8,Low Wage,7611,Construction trades helpers and labourers,46.9756355285645,-64.0738525390625
Prince Edward Island,Arlington Orchards Inc,"Arlington, PE C0B 1Y0",6,Arlington Orchards Inc,8431,General farm workers,46.5138130187988,-63.9548187255859
Prince Edward Island,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",4,Primary Agriculture,8432,Nursery and greenhouse workers,46.43789,-63.63458
Prince Edward Island,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",3,Primary Agriculture,8431,General farm workers,46.203797,-63.266232
Prince Edward Island,Eastern Exporters Ltd,"Souris, PE C0A 2B0",3,Primary Agriculture,8431,General farm workers,46.354047,-62.25215
Prince Edward Island,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",2,Primary Agriculture,8431,General farm workers,46.423011,-63.800596
Prince Edward Island,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",4,Primary Agriculture,8611,Harvesting labourers,46.416154,-63.074183
Prince Edward Island,Maritime Pet Foods Inc.,"Stanchel, PE C0A 1E0",3,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.425984,-63.492215
Prince Edward Island,Mol Farms Inc,"Kinkora, PE C0B 1N0",3,Primary Agriculture,8431,General farm workers,46.344061,-63.548072
Prince Edward Island,Ponds Edge Farms Inc.,"Souris, PE C0A 2B0",1,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.354047,-62.25215
Prince Edward Island,The Berry Patch,"Tracadie Cross, PE C0A 1T0",3,Primary Agriculture,8431,General farm workers,46.3396301269531,-62.8716468811035
Prince Edward Island,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",3,Primary Agriculture,8431,General farm workers,46.24001,-63.50021
Nova Scotia,3281964 Nova Scotia Limited,"Lower Sackville, NS B4C 2R8",1,3281964 Nova Scotia Limited,6322,Cooks,44.7635669,-63.6752822
Nova Scotia,Burnbrae Farm & Paradise Inn Inc.,"Paradise, NS B0S 1R0",1,High Wage,0632,Accommodation service managers,44.935412,-65.180707
Nova Scotia,Cha Baa Thai Restaurant Ltd.,"Halifax, NS B3J 2J6",6,High Wage,6322,Cooks,44.643134,-63.576928
Nova Scotia,Connors Transfer Limited,"Stellarton, NS B0K 1S0",8,High Wage,7511,Transport truck drivers,45.5583249,-62.6623249
Nova Scotia,Dalhousie University,"Halifax, NS B3H 4R2",1,High Wage,4011,University professors and lecturers,44.6370504,-63.5964136
Nova Scotia,DSRA Architecture Incorporated,"Halifax, NS B3J 2V1",1,High Wage,2253,Drafting technologists and technicians,44.648416,-63.645986
Nova Scotia,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",10,High Wage,7511,Transport truck drivers,45.067163,-64.547804
Nova Scotia,EM&I Stantec Ltd.,"Dartmouth, NS B3B 1S1",3,High Wage,2261,Non,44.699441,-63.595036
Nova Scotia,Gever Developments Limited,"Halifax, NS B3S 1N5",2,High Wage,0711,Construction managers,44.6602562,-63.6731991
Nova Scotia,IMP Group Limited,"Amherst, NS B4H 4J6",1,High Wage,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",45.8139725,-64.228245
Nova Scotia,Infi Systems Ltd.,"Halifax, NS B3J 3N2",1,High Wage,2171,Information systems analysts and consultants,44.6520116,-63.5760615
Nova Scotia,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",1,High Wage,0016,Senior managers ,44.66274,-63.590281
Nova Scotia,Masontech Inc,"Halifax, NS B3K 3T6",2,High Wage,7281,Bricklayers,44.651452,-63.585616
Nova Scotia,Orienteering Association of Nova Scotia,"Halifax, NS B3J 1G6",1,High Wage,2255,Technical occupations in geomatics and meteorology,44.6429928,-63.577033
Nova Scotia,Perez Cleaning Services,"Elmsdale, NS B2S 0A1",1,High Wage,6315,Cleaning supervisors,44.971185,-63.50677
