Province,Employer,Address,Positions,NOC 2011,NOC Name
Newfoundland and Labrador,10113 Newfoundland Limited,"Clarenville, NL A5A 1K6",1,6311,Food service supervisors
Newfoundland and Labrador,10565 NFLD. Inc.,"Goose Bay, NL A0P 1C0",1,6312,Executive housekeepers
Newfoundland and Labrador,10565 NFLD. Inc.,"Happy Valley Goose Bay, NL A0P 1C0",2,6312,Executive housekeepers
Newfoundland and Labrador,75038 Newfoundland and Labrador Limited,"St. John's, NL A1C 4Z5",1,6322,Cooks
Newfoundland and Labrador,A&W Restaurant,"Happy Valley - Goose Bay, NL A0P 1C0",2,6311,Food service supervisors
Newfoundland and Labrador,Aker Solutions AIM Canada Inc.,"St John's, NL A1C 6C9",1,2261,Non
Newfoundland and Labrador,Arup Canada Inc.,"St. John's, NL A1B 4M7",1,0711,Construction managers
Newfoundland and Labrador,Arup Canada Inc.,,1,2153,Urban and land use planners
Newfoundland and Labrador,Atlantic Grocery Distributors,"Bay Roberts, NL A0A 1G0",4,7452,Material handlers
Newfoundland and Labrador,Atlantic Grocery Distributors,,1,7514,Delivery and courier service drivers
Newfoundland and Labrador,Avalla Construction Inc.,"St. John's, NL A1E 6A3",4,7281,Bricklayers
Newfoundland and Labrador,Bojo's Restaurants Inc.,"Springdale, NL A0J 1T0",1,6321,Chefs
Newfoundland and Labrador,Braven NL Inc.,"St. John's, NL A1C 6J9",1,5222,Film and video camera operators
Newfoundland and Labrador,Bugden Enterprises,"Conception Bay South, NL A1W 3A3",1,6311,Food service supervisors
Newfoundland and Labrador,Carol Automobile Ltd.,"Labrador City, NL A2V 2K6",1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
Newfoundland and Labrador,CBS Foods Ltd,"Conception Bay South, NL A1W 3A6",2,6322,Cooks
Newfoundland and Labrador,Central Regional Health Authority,"Grand Falls-Windsor, NL A2A 2E1",5,3111,Specialist physicians
Newfoundland and Labrador,Central Regional Health Authority,,2,3112,General practitioners and family physicians
Newfoundland and Labrador,CG Aberdeen Holdings Inc,"Paradise, NL A1L 1K9",2,6311,Food service supervisors
Newfoundland and Labrador,City Light Holdings Inc.,"St.John's, NL A1E 2C2",1,6322,Cooks
Newfoundland and Labrador,Connie Parsons School Of Dance,"St. John's, NL A1B 2M4",1,5134,Dancers
Newfoundland and Labrador,D. J. Gift Shop Ltd.,"Hopedale, NL A0P 1G0",1,6211,Retail sales supervisors
Newfoundland and Labrador,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A1",7,2273,"Deck officers, water transport"
Newfoundland and Labrador,DOF Subsea Canada Corp.,,7,2274,"Engineer officers, water transport"
Newfoundland and Labrador,DOF Subsea Canada Corp.,,2,6322,Cooks
