Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Incorporated Status,Approved LMIA,Latitude,Longitude
Newfoundland and Labrador,Fibreglass Works Ltd,"Wareham,Centreville,Trinity, NL A0G 4P0",5,High Wage,9535,"Plastic products assemblers, finishers and inspectors",Unknown,1,49.020798,-53.924008
Newfoundland and Labrador,Green Bay Fibre Products ltd,"King's Point, NL A0J 1H0",1,High Wage,7271,Carpenters,Unknown,1,49.564592,-56.221529
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,0711,Construction managers,Corporation,2,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",1,High Wage,0731,Managers in transportation,Corporation,1,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,1221,Administrative officers,Corporation,2,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",1,High Wage,1522,Storekeepers and partspersons,Corporation,1,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",5,High Wage,2113,Geoscientists and oceanographers,Corporation,5,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",14,High Wage,2232,Mechanical engineering technologists and technicians,Corporation,11,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",4,High Wage,2241,Electrical and electronics engineering technologists and technicians,Corporation,2,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,2263,Inspectors in public and environmental health and occupational health and safety,Corporation,1,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",9,High Wage,2273,"Deck officers, water transport",Corporation,9,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",8,High Wage,2274,"Engineer officers, water transport",Corporation,7,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,6522,Pursers and flight attendants,Corporation,2,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",3,High Wage,7237,Welders and related machine operators,Corporation,2,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",4,High Wage,7242,Industrial electricians,Corporation,4,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",11,High Wage,7302,"Contractors and supervisors, heavy equipment operator crews",Corporation,9,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",8,High Wage,7371,Crane operators,Corporation,5,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",59,High Wage,7384,"Other trades and related occupations, n.e.c.",Corporation,20,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",3,High Wage,7532,Water transport deck and engine room crew,Corporation,1,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",4,High Wage,7612,Other trades helpers and labourers,Corporation,2,47.551277,-52.727693
Newfoundland and Labrador,Barry Group Inc,"Port de Grave, NL A0A 3J0",12,Low Wage,9618,Labourers in fish and seafood processing,Corporation,1,47.566615,-53.263418
Newfoundland and Labrador,Barry Group Inc,"Witless Bay, NL A0A 4K0",12,Low Wage,9618,Labourers in fish and seafood processing,Corporation,1,47.280092,-52.827119
