EmployerID,Position,Latitude,Longitude
48,1,46.203797,-63.266232
124,2,45.090922,-64.823309
154,2,45.074551,-64.720682
167,3,45.195976,-64.680474
247,1,45.518103,-73.582162
251,10,45.498856,-73.570201
260,1,45.50337,-73.43959
277,5,46.813533,-71.224271
342,8,45.501818,-73.624537
356,1,45.754562,-73.480006
364,1,46.86525,-71.349954
416,6,45.743566,-70.698132
433,1,46.099764,-72.332324
439,1,45.617401,-74.094669
442,1,46.1554695,-72.2012605
445,2,45.288029,-74.396902
446,1,45.517204,-74.279219
456,2,46.820477,-71.78537
461,1,45.123524,-73.148494
468,1,45.205117,-73.653262
487,1,45.849306,-73.77401
496,1,46.347413,-71.699516
501,3,45.267409,-74.143086
504,2,46.010673,-72.076606
507,1,46.444012,-72.136434
514,5,45.5767022,-73.2460654
527,1,46.812343,-71.224795
566,15,45.507836,-73.565412
596,9,46.112205,-71.281155
622,2,45.304769,-73.697619
635,1,47.557124,-70.538822
638,1,45.577702,-73.710989
651,4,45.515439,-73.553814
654,4,45.585158,-73.751624
674,1,46.860509,-71.014815
684,2,45.9328304,-73.3378522
687,3,45.496258,-74.140595
693,3,45.84512,-73.692263
719,2,45.745756,-74.018585
722,1,46.771029,-71.281169
727,1,45.071888,-72.877933
749,1,45.8614072,-73.7472754
754,4,45.978648,-73.393966
824,3,45.414543,-73.02362
853,5,45.31485,-74.19325
858,14,45.542796,-73.662597
889,3,46.4105453491211,-70.3466491699219
971,2,46.782091,-70.933043
974,22,45.525858,-73.598898
977,11,45.491524,-73.568127
978,1,45.383716,-71.925605
981,2,46.7841863,-71.2852596
988,5,45.071888,-72.877933
1024,3,42.902746,-80.546252
1082,2,43.194695,-79.502571
1160,1,43.096075,-80.437428
1210,1,44.160584,-78.405855
1278,1,43.230361,-80.134647
1294,2,43.4792,-80.54941
1296,1,44.07981,-79.539912
1311,2,42.0397218,-82.6670283
1337,6,43.700351,-79.614316
1352,1,42.831139,-80.926222
1410,1,44.656698,-75.73559
1427,2,42.085786,-82.619578
1431,3,42.083449,-82.686365
1472,1,43.015319,-80.765977
1521,10,43.650248,-79.380746
1630,1,43.230361,-80.134647
1636,2,42.902746,-80.546252
1649,4,42.790129,-81.341712
1697,1,43.666249,-79.685462
1702,3,43.012571,-80.251192
1739,1,42.918445,-79.578712
1760,3,44.028609,-77.842122
1846,1,43.6593862,-79.3822058
1851,1,42.0397383,-82.6647118
1854,1,44.176778,-79.884937
1885,2,43.657513,-79.389305
1907,2,43.922158,-79.376145
1919,1,43.25351,-79.126832
1920,1,42.856723,-80.474411
1931,1,44.1413871,-80.028765
1935,2,43.678367,-79.584915
1939,3,43.658796,-79.386603
1940,2,43.527949,-80.223221
1942,4,43.470426,-80.538399
2001,1,43.9309932,-78.8023298
2003,1,42.101244,-82.424689
2028,1,51.229353,-101.35515
2050,1,51.326668,-100.474513
2063,3,49.8098449,-97.1333039
2064,1,49.50238,-98.00195
2107,2,52.201393,-105.134075
2139,1,49.709486,-106.488784
2144,1,52.852346,-106.694015
2369,10,50.984878,-112.563177
2394,1,53.128453,-113.147407
2669,1,53.48297,-114.002107
2727,1,49.8228,-111.664838
2780,1,52.745203,-113.77068
2842,1,50.275815,-112.04538
2936,4,51.074892,-114.129012
2940,1,49.627841,-112.49929
3019,1,49.1611749,-122.9540357
3040,2,49.8628172,-119.5818684
3047,1,49.1555125,-122.8619615
3055,1,49.091765,-122.109628
3095,1,50.737198,-121.271279
3111,3,49.248093,-123.0083797
3172,1,48.471354,-123.440194
3187,3,49.266527,-123.106112
3208,2,49.012293,-122.326574
3294,1,49.310047,-123.011882
3393,1,49.229368,-123.002007
4042,1,46.318197,-63.558561
4043,3,46.43789,-63.63458
4103,1,45.1708349,-64.7669826
4110,1,45.1708349,-64.7669826
4186,1,45.066995,-64.800737
4206,2,45.026806,-64.165254
4218,1,44.630549,-63.582286
4355,1,45.942458,-66.642141
4418,6,46.751709,-71.331014
4424,1,45.497394,-73.571571
4460,2,46.220281,-72.047316
4462,1,46.220281,-72.047316
4476,1,45.4162216,-75.8808382
4495,1,46.64819,-70.99023
4546,1,45.820642,-73.456049
4578,1,45.43813,-73.092904
4593,1,45.454941,-73.462725
4657,2,45.528053,-74.278758
4662,2,45.202786,-73.406868
4668,1,45.527144,-73.597952
4696,1,45.484476,-73.726702
4746,1,45.103144,-73.761241
4756,3,48.075222,-65.579231
4771,1,48.8888244,-72.4478136
4772,1,46.922903,-70.893368
4781,1,45.29296875,-74.3922882080078
4791,1,48.709357,-67.912224
4793,2,46.13162,-70.926033
4795,1,46.728994,-71.739682
4800,1,46.860509,-71.014815
4806,2,45.848711,-73.623247
4807,2,45.202786,-73.406868
4813,3,45.31485,-74.19325
4816,1,45.967496,-73.566293
4822,2,45.967496,-73.566293
4837,2,46.010673,-72.076606
4847,1,46.860509,-71.014815
4854,1,45.009811,-74.401249
4875,1,45.956657,-73.221825
4886,1,46.616385,-71.934769
4888,2,45.882973,-71.945626
4890,1,47.650355,-69.667173
4896,2,45.195559,-73.263154
4900,1,46.860509,-71.014815
4901,2,45.097313,-73.249969
4928,4,46.763865,-71.649853
5016,3,46.812875,-71.223742
5026,1,46.313856,-70.872211
5032,7,46.243134,-72.922774
5059,2,48.830869,-64.488875
5071,1,45.205117,-73.653262
5090,1,46.815793,-71.219509
5113,1,45.1579093933105,-73.6762390136719
5130,1,45.452665,-73.456351
5166,2,45.205117,-73.653262
5168,2,45.1579093933105,-73.6762390136719
5170,1,45.847931,-73.695598
5184,1,45.205117,-73.653262
5190,1,46.860509,-71.014815
5195,2,45.280104,-74.237329
5205,2,45.156582,-73.508952
5218,1,45.346674,-73.436841
5242,3,45.1579093933105,-73.6762390136719
5243,2,45.96805,-73.68699
5270,3,45.518391,-73.982522
5311,2,45.346674,-73.436841
5359,1,45.435286,-72.883572
5409,1,45.435286,-72.883572
5452,1,45.02937,-73.92373
5481,4,46.06979,-73.420544
5591,3,45.502031,-73.570992
5635,25,45.527042,-73.595999
5672,2,45.30205,-73.22076
5686,1,46.0021075,-73.4527635
5696,1,45.496258,-74.140595
5698,2,45.647544,-73.723904
5750,3,43.15509,-79.284047
5785,1,42.902746,-80.546252
5860,1,45.280191,-76.023035
5869,3,43.720399,-79.595219
5883,1,43.6967709,-79.6282364
5970,1,43.702586,-79.589331
6049,2,43.656663,-79.360118
6085,1,43.194695,-79.502571
6094,2,44.255352,-76.496985
6096,1,42.297117,-81.923025
6101,1,42.564953,-80.666115
6106,1,42.902746,-80.546252
6110,1,43.191259,-79.392035
6175,2,43.17304,-79.454119
6239,1,42.421325,-82.38478
6245,1,43.817877,-79.534014
6292,1,42.704345,-81.189356
6313,1,43.030539,-79.349008
6318,2,42.9822573,-81.2451524
6398,1,43.109839,-79.263754
6461,1,43.718888,-79.526692
6500,1,43.831966,-79.358321
6507,1,42.908662,-80.604538
6550,1,42.050518,-82.694163
6568,1,42.297117,-81.923025
6580,1,44.821412,-81.128860
6589,2,44.308557,-81.27445
6637,3,43.7993251,-79.5186408
6662,1,42.82926,-80.677946
6670,1,43.0687869,-79.2679871
6756,1,42.564952,-80.666115
6763,1,42.831139,-80.926222
6775,1,44.115674,-79.561624
6816,1,42.357981,-82.408206
6841,1,45.364183,-75.618976
6857,1,42.799864,-80.365007
6902,1,42.875516,-81.484522
6908,1,42.087276,-82.61951
6911,1,43.718574,-79.478811
6917,1,43.938642,-77.088910
6921,4,43.549834,-80.280068
6961,1,42.297117,-81.923025
7071,1,43.975046,-78.080216
7143,4,43.175151,-80.230355
7177,1,44.15116,-81.041703
7195,2,42.087276,-82.61951
7221,1,43.517865,-79.877948
7286,1,44.144845,-81.181654
7425,1,42.902746,-80.546252
7426,8,42.64776,-80.806753
7598,2,42.421325,-82.38478
7629,2,44.545368,-80.46633
7784,3,43.7021,-79.565023
7869,1,43.955839,-78.826953
7881,1,43.603477,-79.775441
7899,1,43.166732,-79.206433
7948,2,42.092318,-82.95292
8015,1,49.50238,-98.00195
8103,1,49.96576,-98.295855
8127,1,49.847815,-97.766497
8128,4,51.702417,-100.344473
8276,1,53.199414,-105.737602
8326,1,53.514602,-103.725511
8357,1,52.280337,-105.979869
8368,2,52.08555,-106.55128
8431,1,52.12623,-106.672711
8452,1,50.413607,-104.434654
8484,2,53.149461,-103.916302
8501,1,52.860598,-104.60092
9511,1,53.621665,-113.519236
9570,1,51.030563,-113.967407
9656,2,54.701965,-112.10008
9692,1,53.522269,-113.51192
9745,1,51.128176,-113.955822
9770,2,53.581016,-113.433424
9785,3,51.084027,-114.011634
9852,1,50.944797,-113.976593
9881,1,53.390517,-112.863115
9892,1,53.672123,-113.299147
10015,1,55.897113,-116.988385
10018,1,50.962598,-114.072267
10332,1,57.7447547912598,-117.638076782227
10648,1,53.504883,-113.410624
10688,1,53.96418,-113.236053
10704,1,53.875388,-119.140267
10726,2,53.790081,-113.635394
10730,4,53.5191111,-113.4159033
10780,1,53.644517,-114.026757
10781,1,55.399919,-116.820589
10789,1,51.607665,-113.67335
10851,1,53.5696015,-113.5902745
10934,1,51.094984,-115.359464
10998,2,53.498392,-113.469797
11040,1,53.62857,-113.356475
11132,1,53.576759,-113.577886
11354,1,53.564397,-113.57801
11462,1,53.518057,-113.488871
11573,4,51.1003532,-113.9665885
11574,1,51.132209,-113.940412
11587,3,51.113974,-113.952503
11607,1,53.098977,-113.866496
11713,1,53.5136045,-113.4431035
11859,2,51.457729,-112.716702
11924,1,55.183311,-118.7976215
11928,1,53.5422721,-113.5139663
11940,1,52.830805,-113.087966
12132,1,53.4768321,-113.4822346
12319,2,50.992812,-114.010929
12324,1,51.418756,-116.218762
12538,3,49.159561,-122.889189
12552,1,49.859984,-119.409911
12556,2,49.142165,-122.803196
12658,2,49.091732,-122.109874
12660,1,49.212136,-123.102199
12721,2,49.220531,-123.083756
12758,1,49.016882,-122.304272
12850,2,49.085365,-123.095123
12855,1,49.242741,-122.892548
