EmployerID,Position,Latitude,Longitude
2,2,49.300178,-57.388307
28,4,49.282213,-57.420854
44,1,48.965333,-58.030775
48,14,46.203797,-63.266232
49,75,46.1749323,-63.2607926
54,11,46.354047,-62.25215
55,2,46.283411,-63.196791
58,20,46.416154,-63.074183
63,3,46.401847,-63.338722
68,30,46.233768,-63.124917
71,49,46.696448,-64.383974
72,3,46.428618,-63.875926
73,81,46.22192,-62.971058
74,3,44.939685,-63.534989
75,122,45.195976,-64.680474
76,10,45.090922,-64.823309
81,28,45.090922,-64.823309
85,12,45.195976,-64.680474
92,5,45.066995,-64.800737
96,30,45.067163,-64.547804
98,28,45.195976,-64.680474
108,32,44.7657928466797,-64.4158172607422
118,9,44.66274,-63.590281
124,8,45.090922,-64.823309
166,2,44.9946916,-63.3453807
169,6,45.091737,-64.35987
170,2,46.093314,-64.752684
185,28,46.053925,-67.549314
187,35,45.968083,-64.605089
189,2,45.796334,-65.26883
193,1,45.961468,-66.639585
205,1,46.099265,-64.804206
214,122,45.687511,-73.099655
216,6,45.327376,-73.235338
219,4,47.829313,-69.513848
220,2,46.966656,-70.531465
242,6,45.500405,-73.557362
243,5,46.012426,-73.355485
251,4,45.498856,-73.570201
261,46,46.153275,-71.707873
264,3,45.495165,-73.552769
266,14,45.2722015380859,-74.3366470336914
279,3,46.612569,-72.291314
288,3,45.502029,-73.570987
289,6,45.502029,-73.570987
301,2,45.535331,-72.298759
312,3,45.43813,-73.092904
314,99,45.929801940918,-72.786994934082
321,3,45.850955,-72.577291
324,1,45.491929,-73.578883
335,1,46.594235,-70.860566
340,1,45.5317503,-73.5917029
342,1,45.501818,-73.624537
343,15,45.5052277,-73.5557318
356,48,45.754562,-73.480006
360,7,45.521216,-73.555699
364,8,46.86525,-71.349954
387,4,46.146022,-70.691725
391,14,45.18365,-72.83659
393,1,45.050584,-72.37232
402,4,46.767534,-71.309732
416,7,45.743566,-70.698132
418,11,45.711236,-72.73277
422,4,45.557512,-73.527494
427,1,45.515392,-73.553859
428,11,45.956657,-73.221825
431,3,46.825966,-71.153383
433,13,46.099764,-72.332324
435,4,45.8125381469727,-73.0415573120117
438,1,45.122858,-74.018803
443,2,46.671567,-71.110015
444,14,45.8614072,-73.7472754
445,2,45.288029,-74.396902
446,2,45.517204,-74.279219
447,9,46.0830119,-71.992766
449,22,45.167395,-72.039906
450,13,46.012426,-73.355485
451,3,48.633071,-71.702658
453,5,46.228855,-73.406588
456,2,46.820477,-71.78537
459,21,46.487467,-72.742849
461,3,45.123524,-73.148494
462,11,45.956657,-73.221825
464,2,46.13162,-70.926033
466,10,46.167895,-72.328926
468,18,45.205117,-73.653262
469,16,45.346674,-73.436841
470,4,45.848711,-73.623247
471,1,45.097313,-73.249969
473,2,46.445729,-72.506859
475,3,45.780544,-72.751872
479,3,45.226356,-73.019467
481,2,46.46682,-72.380759
482,4,45.528053,-74.278758
485,1,45.0870018005371,-74.4231109619141
487,11,45.849306,-73.77401
489,2,45.528053,-74.278758
491,7,46.66989,-71.7747
492,1,46.46617,-71.527885
493,2,45.35361,-73.365888
495,9,46.46682,-72.380759
496,1,46.347413,-71.699516
497,6,45.961974,-72.806471
500,11,46.486178,-72.03479
501,28,45.267409,-74.143086
502,2,46.154859,-73.427218
504,9,46.010673,-72.076606
506,13,45.967496,-73.566293
507,5,46.444012,-72.136434
508,3,45.870616,-70.977775
510,3,45.195559,-73.263154
514,79,45.5767022,-73.2460654
530,3,45.086847,-73.370288
531,6,45.414219,-73.465746
532,4,46.486178,-72.03479
536,4,46.811924,-71.223922
544,112,46.218009,-71.07553
553,1,45.495141,-73.660894
560,4,45.346674,-73.436841
561,9,45.507564,-73.56949
566,8,45.507836,-73.565412
568,2,45.504013,-73.622601
581,2,45.89633,-74.138584
596,1,46.112205,-71.281155
602,4,46.780227,-71.300746
607,4,46.294643,-70.873676
608,46,45.565314,-74.078302
612,28,45.346674,-73.436841
617,32,45.55103,-73.825468
618,12,46.004598,-71.64606
620,26,45.31485,-74.19325
621,18,45.146415,-72.642048
622,142,45.304769,-73.697619
626,1,45.63874,-73.561416
630,3,45.514193,-73.55685
637,5,46.621806,-71.737168
638,70,45.577702,-73.710989
640,28,46.168705,-71.871248
644,4,45.848711,-73.623247
651,6,45.515439,-73.553814
659,47,45.433967,-73.159539
664,36,46.21997,-71.770521
671,10,46.197366,-73.402434
672,1,45.791389,-74.011258
674,5,46.860509,-71.014815
675,65,45.156582,-73.508952
677,118,45.5767022,-73.2460654
679,7,45.43813,-73.092904
681,32,45.346674,-73.436841
684,25,45.9328304,-73.3378522
685,49,45.8153066,-73.7053171
686,16,45.23844,-73.5129
687,169,45.496258,-74.140595
690,6,45.304769,-73.697619
691,17,45.849306,-73.77401
693,7,45.84512,-73.692263
695,28,45.724929,-70.86205
703,10,46.405163,-71.745566
704,70,45.307256,-71.829763
706,12,45.816035,-73.907662
709,43,45.5574221,-73.9097504
710,99,45.1579093933105,-73.6762390136719
712,8,45.55103,-73.825468
713,31,45.623993,-74.005714
716,17,45.205117,-73.653262
719,18,45.745756,-74.018585
720,27,45.53251,-73.839238
722,12,46.771029,-71.281169
727,19,45.071888,-72.877933
728,26,45.18365,-72.83659
729,2,47.557124,-70.538822
734,1,46.81749,-71.2123
742,1,45.502079,-73.555664
743,9,46.534055,-71.557415
747,27,46.134199,-70.662775
754,9,45.978648,-73.393966
765,6,45.978648,-73.393966
771,1,45.476047,-75.77838
797,9,45.428523,-75.715981
803,12,46.1401159,-70.6696082
808,4,46.761369,-71.210897
824,20,45.414543,-73.02362
830,9,46.411782,-73.550184
834,7,45.358702,-72.922095
836,76,46.851704,-71.107794
841,8,45.39034,-71.91876
845,4,45.967496,-73.566293
846,1,46.825966,-71.153383
853,13,45.31485,-74.19325
858,48,45.542796,-73.662597
889,9,46.4105453491211,-70.3466491699219
894,3,45.5334847,-73.6191595
901,11,45.633803,-73.131577
902,17,45.770421,-73.973079
905,7,45.452889,-73.718656
912,1,46.806187,-71.382976
916,1,45.504245,-73.565475
948,6,45.483324,-73.583975
970,14,46.1376075744629,-73.5453567504883
971,27,46.782091,-70.933043
974,2,45.525858,-73.598898
977,10,45.491524,-73.568127
978,3,45.383716,-71.925605
981,9,46.7841863,-71.2852596
985,3,46.362318,-72.677107
988,142,45.071888,-72.877933
989,76,46.168705,-71.871248
990,48,45.435286,-72.883572
991,1,45.100724,-73.25432
992,159,45.51939,-73.122029
993,19,45.435286,-72.883572
994,22,45.435286,-72.883572
995,125,45.435286,-72.883572
999,1,45.514607,-73.568441
1006,2,45.491755,-73.583887
1008,28,45.205117,-73.653262
1011,16,43.314967,-81.749506
1012,19,42.899097,-80.254473
1013,2,42.564953,-80.666115
1015,6,43.25351,-79.126832
1016,125,42.085786,-82.619578
1022,15,42.873804,-80.741577
1024,36,42.902746,-80.546252
1027,17,42.085786,-82.619578
1035,23,42.843216,-80.615434
1037,2,42.769264,-80.968379
1038,9,43.035999,-80.240425
1040,13,42.799864,-80.365007
1042,1,42.983319,-80.515859
1043,5,42.82926,-80.677946
1055,7,42.065217,-82.737544
1056,14,43.25351,-79.126832
1058,20,42.085786,-82.619578
1061,104,42.0397218,-82.6670283
1062,31,43.25351,-79.126832
1063,9,42.085786,-82.619578
1068,8,43.054185,-80.418048
1072,4,43.25351,-79.126832
1082,46,43.194695,-79.502571
1086,23,44.07981,-79.539912
1087,12,42.577142,-82.174695
1096,23,42.087276,-82.61951
1098,3,43.6593862,-79.3822058
1099,9,44.187719,-80.2720446
1101,3,44.2520725,-79.654591
1104,15,42.717721,-80.771112
1105,34,44.545368,-80.46633
1113,1,43.645478,-79.378843
1120,12,42.874092,-80.302307
1122,8,42.874092,-80.302307
1123,48,43.062286,-81.766377
1124,10,43.022619,-80.346728
1132,26,42.062069,-82.467053
1135,30,43.035999,-80.240425
1136,157,44.559855,-80.469424
1141,1,42.843216,-80.615434
1145,16,43.035999,-80.240425
1151,265,43.999084,-79.679654
1152,16,42.71978,-81.273994
1157,30,42.085786,-82.619578
1160,100,43.096075,-80.437428
1163,4,43.662433,-79.376686
1164,2,43.6456785,-79.387325
1167,8,42.908662,-80.604538
1170,5,43.650805,-79.366137
1173,6,42.826244,-80.460006
1174,25,42.083449,-82.686365
1194,176,43.022619,-80.346728
1195,29,43.161419,-79.162936
1205,45,42.087276,-82.61951
1210,1,44.160584,-78.405855
1213,62,42.297117,-81.923025
1217,13,42.0357113,-82.6946414
1221,10,44.246315,-79.745424
1223,31,42.050518,-82.694163
1230,2,42.65299,-81.929645
1235,29,42.085786,-82.619578
1236,3,44.181699,-81.290263
1244,1,43.608034,-79.500929
1246,14,42.934711,-80.292693
1247,5,43.802915,-79.545067
1253,12,42.803611,-80.728963
1259,60,42.072248,-82.598226
1260,66,42.072248,-82.598226
1278,34,43.230361,-80.134647
1280,5,42.062069,-82.467053
1282,12,44.545368,-80.46633
1284,16,42.083449,-82.686365
1295,22,43.152372,-79.36548
1302,1,43.649548,-79.382991
1303,44,42.050518,-82.694163
1306,20,43.370139,-79.967593
1309,17,42.642325,-80.431983
1311,56,42.0397218,-82.6670283
1313,1,43.528511,-80.18484
1315,3,43.3599786,-81.481515
1317,1,43.709725,-79.296329
1320,1,45.218925,-75.850428
1321,3,42.826244,-80.460006
1327,2,45.309775,-75.088607
1328,25,42.899097,-80.254473
1337,11,43.700351,-79.614316
1338,22,44.042210,-79.609068
1340,10,43.25351,-79.126832
1343,205,44.545368,-80.46633
1344,2,43.849607,-79.694793
1346,7,42.034859,-82.625161
1347,13,43.159928,-81.831987
1352,33,42.831139,-80.926222
1353,4,42.980872,-80.596957
1354,10,43.819506,-81.483205
1355,3,42.895099,-80.383061
1356,9,42.875516,-81.484522
1357,9,43.25351,-79.126832
1362,6,43.17304,-79.454119
1363,32,43.849607,-79.694793
1370,1,42.921613,-81.254054
1374,2,43.916197,-80.103196
1376,10,44.17856,-79.849317
1378,4,42.826244,-80.460006
1386,83,42.072248,-82.598226
1387,175,42.038316,-82.732632
1389,2,43.690387,-79.623774
1390,22,42.052702,-82.60397
1396,1,43.191259,-79.392035
1402,19,44.114138,-79.564947
1403,62,42.065217,-82.737544
1420,107,43.194695,-79.502571
1424,37,44.402389,-81.316729
1427,218,42.085786,-82.619578
1429,5,42.875516,-81.484522
1431,53,42.083449,-82.686365
1435,10,43.191259,-79.392035
1437,6,42.085786,-82.619578
1441,3,44.104004,-79.563089
1444,36,42.983319,-80.515859
1445,23,42.873742,-79.053897
1450,45,42.047491,-82.622982
1455,1,43.3584145,-80.3198603
1464,1,43.775099,-79.604139
1469,14,42.983319,-80.515859
1470,17,42.874092,-80.302307
1471,16,42.899097,-80.254473
1472,2,43.015319,-80.765977
1474,32,43.030539,-79.349008
1476,13,43.206636,-79.633164
1477,83,43.15509,-79.284047
1479,13,43.15509,-79.284047
1484,16,42.577142,-82.174695
1486,29,42.0397224,-82.6669374
1487,11,42.831139,-80.926222
1489,3,43.550334,-79.904194
1490,37,42.087276,-82.61951
1492,6,43.159928,-81.831987
1495,46,43.25351,-79.126832
1500,12,42.083449,-82.686365
1501,13,43.035999,-80.240425
1502,81,42.799864,-80.365007
1503,14,43.035999,-80.240425
1510,35,42.274227,-82.718656
1511,1,43.67103,-79.382744
1513,61,43.035999,-80.240425
1521,4,43.650248,-79.380746
1526,3,44.115669,-79.561624
1531,69,43.25351,-79.126832
1532,1,43.664245,-79.596854
1534,5,42.902746,-80.546252
1535,6,42.0397224,-82.6669374
1538,31,46.3497456,-79.9530891
1539,11,44.1677046,-80.2083171
1544,9,43.962177,-78.684526
1546,83,43.164459,-79.501867
1549,2,42.065217,-82.737544
1552,1,42.962078,-81.227706
1554,10,44.11921,-79.900153
1555,18,42.934711,-80.292693
1557,93,42.047491,-82.622982
1561,146,42.934711,-80.292693
1562,12,42.085786,-82.619578
1568,5,43.135918,-79.623822
1569,64,43.152372,-79.36548
1576,6,43.191259,-79.392035
1578,1,43.8116268,-79.5324767
1580,10,42.034859,-82.625161
1583,53,42.065217,-82.737544
1587,15,44.515182,-78.206635
1590,6,42.008026,-82.791085
1591,3,44.114138,-79.564947
1596,8,42.899097,-80.254473
1600,52,42.934711,-80.292693
1610,29,42.085786,-82.619578
1612,8,42.083449,-82.686365
1617,81,42.0397218,-82.6670283
1618,3,43.8095946,-79.5252906
1620,29,42.101244,-82.424689
1622,7,42.564953,-80.666115
1623,5,42.274227,-82.718656
1626,1,42.087276,-82.61951
1630,10,43.230361,-80.134647
1631,70,42.085786,-82.619578
1632,3,45.142412,-74.5023
1634,2,43.222961,-79.120832
1635,7,44.52392,-80.74274
1636,64,42.902746,-80.546252
1646,18,42.047491,-82.622982
1647,10,42.874092,-80.302307
1649,191,42.790129,-81.341712
1663,10,43.085973,-79.619484
1668,20,43.650964,-79.358521
1681,13,42.568461,-81.970986
1687,25,42.979203,-81.013636
1688,18,42.717721,-80.771112
1689,8,43.25351,-79.126832
1694,36,42.297117,-81.923025
1696,100,42.197119,-82.554918
1697,1,43.666249,-79.685462
1701,28,42.087276,-82.61951
1702,494,43.012571,-80.251192
1706,21,42.059395,-82.599301
1708,3,43.788377,-79.625372
1712,10,43.187117,-80.471383
1714,12,43.652243,-79.371197
1715,1,43.798226,-79.27423
1716,12,42.899097,-80.254473
1717,40,43.048475,-80.980696
1725,75,44.123712,-79.577373
1729,2,47.727967,-79.950753
1734,14,42.297117,-81.923025
1746,42,42.087276,-82.61951
1749,5,42.564953,-80.666115
1751,142,42.802439,-80.510602
1752,2,43.658525,-79.38055
1760,100,44.028609,-77.842122
1762,71,43.15509,-79.284047
1763,1,43.398651,-80.850037
1765,6,43.17304,-79.454119
1772,7,43.6593862,-79.3822058
1773,72,42.613159,-82.389662
1783,17,45.218925,-75.850428
1789,19,42.034849,-82.624991
1794,74,43.012571,-80.251192
1795,5,43.25351,-79.126832
1797,23,44.119476,-79.458418
1805,134,44.316132,-80.075238
1811,15,42.799864,-80.365007
1813,16,42.0398206,-82.6725485
1815,10,43.744171,-81.252702
1818,90,43.15509,-79.284047
1822,10,43.64362,-79.396932
1824,8,42.642325,-80.431983
1833,4,44.114935,-79.564823
1834,9,43.035999,-80.240425
1838,190,42.799864,-80.365007
1839,30,43.187117,-80.471383
1840,13,42.050518,-82.694163
1841,27,42.050518,-82.694163
1842,26,42.055016,-82.604509
1843,44,43.17304,-79.454119
1844,21,43.15509,-79.284047
1852,13,43.191259,-79.392035
1854,4,44.176778,-79.884937
1855,30,42.0357113,-82.6946414
1857,83,43.344679,-81.480188
1858,19,45.1790154,-75.6295474
1859,25,42.083449,-82.686365
1862,127,42.564953,-80.666115
1863,13,43.150276,-79.387611
1864,3,43.649732,-79.375876
1869,6,43.744171,-81.252702
1880,1,42.283262,-82.9644
1885,4,43.657513,-79.389305
1889,2,43.668573,-79.394186
1890,2,43.666278,-79.366845
1897,37,42.297117,-81.923025
1899,68,43.25351,-79.126832
1907,53,43.922158,-79.376145
1910,1,43.647288,-79.36202
1915,66,42.874092,-80.302307
1919,90,43.25351,-79.126832
1920,9,42.856723,-80.474411
1931,20,44.1413871,-80.028765
1934,44,42.05501,-82.604509
1939,3,43.658796,-79.386603
1940,7,43.527949,-80.223221
1941,23,43.661543,-79.392444
1942,13,43.470426,-80.538399
1946,28,44.522931,-80.742541
1947,11,46.60713,-81.051687
1952,5,43.49059,-80.01291
1954,22,43.170469,-80.433595
1956,9,42.983319,-80.515859
1959,6,43.030539,-79.349008
1964,12,42.826244,-80.460006
1966,14,43.3599786,-81.481515
1970,157,43.488969,-80.518174
1975,6,43.25351,-79.126832
1979,7,43.25351,-79.126832
1980,14,43.353242,-80.987562
1981,25,43.15509,-79.284047
1982,14,43.448672,-80.508118
1983,2,42.980872,-80.596957
1993,4,43.25351,-79.126832
1995,104,43.030539,-79.349008
1996,12,43.917887,-78.548227
1998,68,43.230361,-80.134647
2001,28,43.9309932,-78.8023298
2002,4,43.25351,-79.126832
2003,5,42.101244,-82.424689
2006,17,42.072248,-82.598226
2007,35,44.530125,-79.074992
