EmployerID,Position,Latitude,Longitude
6,2,47.5183451,-52.9567005
28,2,49.282213,-57.420854
48,2,46.203797,-63.266232
59,1,46.179,-62.884
63,1,46.401847,-63.338722
71,3,46.696448,-64.383974
75,4,45.195976,-64.680474
76,3,45.090922,-64.823309
85,2,45.195976,-64.680474
124,3,45.090922,-64.823309
131,4,45.369405,-63.662186
154,4,45.074551,-64.720682
167,9,45.195976,-64.680474
205,1,46.099265,-64.804206
236,1,45.497407,-73.727964
243,2,46.012426,-73.355485
247,2,45.518103,-73.582162
251,29,45.498856,-73.570201
260,1,45.50337,-73.43959
266,2,45.2722015380859,-74.3366470336914
277,7,46.813533,-71.224271
341,1,45.3527288,-73.2861638
342,15,45.501818,-73.624537
356,3,45.754562,-73.480006
388,1,45.431601,-73.4565186
391,3,45.18365,-72.83659
416,31,45.743566,-70.698132
428,6,45.956657,-73.221825
433,8,46.099764,-72.332324
438,2,45.122858,-74.018803
439,1,45.617401,-74.094669
445,1,45.288029,-74.396902
446,2,45.517204,-74.279219
451,4,48.633071,-71.702658
453,1,46.228855,-73.406588
459,8,46.487467,-72.742849
461,4,45.123524,-73.148494
462,5,45.956657,-73.221825
464,1,46.13162,-70.926033
466,3,46.167895,-72.328926
468,6,45.205117,-73.653262
480,1,46.012426,-73.355485
487,7,45.849306,-73.77401
497,4,45.961974,-72.806471
501,8,45.267409,-74.143086
502,2,46.154859,-73.427218
504,2,46.010673,-72.076606
506,5,45.967496,-73.566293
507,4,46.444012,-72.136434
509,3,45.175263,-73.861134
514,16,45.5767022,-73.2460654
527,3,46.812343,-71.224795
566,85,45.507836,-73.565412
568,7,45.504013,-73.622601
596,17,46.112205,-71.281155
602,8,46.780227,-71.300746
620,4,45.31485,-74.19325
622,9,45.304769,-73.697619
638,5,45.577702,-73.710989
651,25,45.515439,-73.553814
654,11,45.585158,-73.751624
664,4,46.21997,-71.770521
672,1,45.791389,-74.011258
674,4,46.860509,-71.014815
677,12,45.5767022,-73.2460654
681,5,45.346674,-73.436841
684,6,45.9328304,-73.3378522
687,29,45.496258,-74.140595
690,1,45.304769,-73.697619
693,4,45.84512,-73.692263
700,6,45.956657,-73.221825
709,3,45.5574221,-73.9097504
712,1,45.55103,-73.825468
713,6,45.623993,-74.005714
717,7,45.619252,-72.948702
719,5,45.745756,-74.018585
722,7,46.771029,-71.281169
726,2,45.071888,-72.877933
728,9,45.18365,-72.83659
729,2,47.557124,-70.538822
742,2,45.502079,-73.555664
749,6,45.8614072,-73.7472754
750,1,45.467172,-73.62225
754,7,45.978648,-73.393966
765,2,45.978648,-73.393966
802,1,45.503238,-73.558922
808,1,46.761369,-71.210897
810,3,45.484047,-73.562138
824,9,45.414543,-73.02362
826,1,46.7564714,-71.4104976
847,1,46.0285851,-73.4499872
858,54,45.542796,-73.662597
877,4,46.857074,-71.340461
889,36,46.4105453491211,-70.3466491699219
916,1,45.504245,-73.565475
925,7,45.875388,-72.540577
927,3,45.687511,-73.099655
936,1,45.513874,-73.572122
970,5,46.1376075744629,-73.5453567504883
971,9,46.782091,-70.933043
974,77,45.525858,-73.598898
977,29,45.491524,-73.568127
978,12,45.383716,-71.925605
981,8,46.7841863,-71.2852596
985,1,46.362318,-72.677107
988,18,45.071888,-72.877933
989,7,46.168705,-71.871248
993,5,45.435286,-72.883572
994,6,45.435286,-72.883572
995,17,45.435286,-72.883572
1008,1,45.205117,-73.653262
1015,1,43.25351,-79.126832
1024,7,42.902746,-80.546252
1035,4,42.843216,-80.615434
1082,2,43.194695,-79.502571
1087,2,42.577142,-82.174695
1105,1,44.545368,-80.46633
1152,3,42.71978,-81.273994
1160,5,43.096075,-80.437428
1170,2,43.650805,-79.366137
1196,1,42.403004,-82.182128
1200,2,43.522467,-79.747031
1210,1,44.160584,-78.405855
1221,4,44.246315,-79.745424
1235,3,42.085786,-82.619578
1236,4,44.181699,-81.290263
1247,2,43.802915,-79.545067
1278,6,43.230361,-80.134647
1280,1,42.062069,-82.467053
1282,1,44.545368,-80.46633
1283,2,44.049517,-79.579492
1287,3,42.062069,-82.467053
1294,3,43.4792,-80.54941
1311,6,42.0397218,-82.6670283
1327,1,45.309775,-75.088607
1337,62,43.700351,-79.614316
1338,2,44.042210,-79.609068
1340,1,43.25351,-79.126832
1343,4,44.545368,-80.46633
1352,11,42.831139,-80.926222
1362,2,43.17304,-79.454119
1376,2,44.17856,-79.849317
1410,4,44.656698,-75.73559
1424,3,44.402389,-81.316729
1427,11,42.085786,-82.619578
1431,7,42.083449,-82.686365
1439,2,43.341410,-79.877324
1469,1,42.983319,-80.515859
1470,1,42.874092,-80.302307
1472,1,43.015319,-80.765977
1484,1,42.577142,-82.174695
